256,603166,福达股份
257,603165,荣晟环保
258,603160,汇顶科技
259,603159,上海亚虹
260,603158,腾龙股份
261,603139,康惠制药
262,603138,海量数据
263,603133,碳元科技
264,603131,上海沪工
265,603128,华贸物流
266,603126,中材节能
267,603123,翠微股份
268,603118,共进股份
269,603117,万林股份
270,603116,红蜻蜓
271,603113,金能科技
272,603111,康尼机电
273,603108,润达医疗
274,603101,汇嘉时代
275,603100,川仪股份
276,603099,长白山
277,603098,森特股份
278,603096,新经典
279,603090,宏盛股份
280,603089,正裕工业
281,603088,宁波精达
282,603086,先达股份
283,603085,天成自控
284,603081,大丰实业
285,603078,江化微
286,603077,和邦生物
287,603069,海汽集团
288,603067,振华股份
289,603066,音飞储存
290,603060,国检集团
291,603058,永吉股份
292,603050,科林电气
293,603043,广州酒家
294,603042,华脉科技
295,603041,美思德
296,603040,新坐标
297,603039,泛微网络
298,603038,华立股份
299,603037,凯众股份
300,603036,如通股份
301,603035,常熟汽饰
302,603033,三维股份
303,603032,德新交运
304,603031,安德利
305,603030,全筑股份
306,603029,天鹅股份
307,603028,赛福天
308,603027,千禾味业
309,603026,石大胜华
310,603025,大豪科技
311,603023,威帝股份
312,603022,新通联
313,603021,山东华鹏
314,603020,爱普股份
315,603019,中科曙光
316,603018,中设集团
317,603017,中衡设计
318,603016,新宏泰
319,603015,弘讯科技
320,603012,创力集团
321,603011,合锻智能
322,603010,万盛股份
323,603009,北特科技
324,603008,喜临门
325,603007,花王股份
326,603006,联明股份
327,603005,晶方科技
328,603003,龙宇燃油
329,603002,宏昌电子
330,603001,奥康国际
331,603000,人民网
332,601999,出版传媒
333,601998,中信银行
334,601997,贵阳银行
335,601996,丰林集团
336,601992,金隅股份
337,601991,大唐发电
338,601989,中国重工
339,601988,中国银行
340,601985,中国核电
341,601969,海南矿业
342,601968,宝钢包装
343,601966,玲珑轮胎
344,601965,中国汽研
345,601958,金钼股份
346,601952,苏垦农发
347,601939,建设银行
348,601933,永辉超市
349,601929,吉视传媒
350,601928,凤凰传媒
351,601919,中远海控
352,601908,京运通
353,601901,方正证券
354,601900,南方传媒
355,601899,紫金矿业
356,601898,中煤能源
357,601890,亚星锚链
358,601888,中国国旅
359,601886,江河集团
360,601882,海天精工
361,601881,中国银河
362,601880,大连港
363,601878,浙商证券
364,601877,正泰电器
365,601872,招商轮船
366,601866,中远海发
367,601858,中国科传
368,601857,中国石油
369,601818,光大银行
370,601811,新华文轩
371,601808,中海油服
372,601801,皖新传媒
373,601800,中国交建
374,601799,星宇股份
375,601798,蓝科高新
376,601789,宁波建工
377,601788,XD光大证
378,601777,力帆股份
379,601766,中国中车
380,601727,上海电气
381,601718,XD际华集
382,601717,郑煤机
383,601700,风范股份
384,601699,潞安环能
385,601689,拓普集团
386,601688,华泰证券
387,601678,滨化股份
388,601677,明泰铝业
389,601669,中国电建
390,601668,中国建筑
391,601666,平煤股份
392,601636,旗滨集团
393,601633,长城汽车
394,601628,中国人寿
